nat	lev	percV	sd_V	sd_C	VarcoV	VarcoC	nPVI-V	rPVI-C
usa	ne	0.79	1.26	0.05	247.24	42.64	105.77	0.07
usa	ne	0.24	0.02	0.12	55.18	116.51	32.2	0.1
usa	ne	0.36	0.08	0.06	79.17	34.91	59.2	0.06
usa	ne	0.3	0.03	0.14	42.82	100.23	48.18	0.1
usa	ne	0.25	0.03	0.08	50.51	70.34	56.19	0.07
usa	ne	0.88	1.94	0.05	231.34	44.37	55.22	0.06
usa	ne	0.32	0.04	0.06	66.33	59.84	60.65	0.07
usa	ne	0.37	0.04	0.07	57.9	68.17	79.8	0.06
usa	ne	0.69	0.83	0.09	240.19	66.73	58.36	0.11
usa	ne	0.3	0.05	0.08	60.94	44.18	78.86	0.11
usa	ne	0.25	0.02	0.05	50.85	51.87	24.33	0.05
usa	ne	0.26	0.04	0.06	66.71	50.79	50.78	0.06
usa	ne	0.32	0.04	0.14	47.28	115.28	43.77	0.1
usa	ne	0.3	0.04	0.05	70.35	53.9	41.24	0.06
usa	ne	0.16	0.03	0.25	52.1	99.23	46.67	0.23
usa	ne	0.77	0.55	0.02	148.6	17.01	135.52	0.02
usa	ne	0.25	0.02	0.06	43.38	44.78	34.75	0.06
usa	ne	0.22	0.06	0.16	80.81	82.63	66.67	0.15
usa	ne	0.81	0.67	0.05	151.27	53.16	127.9	0.11
usa	ne	0.35	0.04	0.05	58.03	50.84	46.06	0.06
usa	ne	0.14	0.01	0.11	20	54.52	40	0.12
usa	ne	0.36	0.08	0.07	86.54	56.25	140.58	0.07
usa	ne	0.8	0.61	0.04	172.07	41.54	103.63	0.06
usa	ne	0.18	0.01	0.09	26.73	56.34	42.42	0.1
usa	ne	0.81	0.67	0.04	180.99	50.51	59.64	0.07
usa	ne	0.28	0.04	0.11	58.08	81.96	110.3	0.11
usa	ne	0.25	0.01	0.05	24.3	45.88	19.19	0.03
usa	ne	0.22	0.02	0.1	44.02	52.9	75	0.22
usa	ne	0.22	0.02	0.09	37.59	50.43	71.11	0.14
usa	ne	0.73	0.52	0.07	184.1	57.59	90.37	0.11
usa	ne	0.15	0.01	0.07	16.67	30.64	33.33	0.08
usa	ne	0.19	0.03	0.04	54.55	24.53	96.7	0.05
usa	ne	0.84	0.76	0.05	118.55	41.94	146.73	0.1
usa	ne	0.21	0.01	0.07	24.49	49.35	38.89	0.09
usa	ne	0.25	0.02	0.01	25	6.38	50	0.03
usa	ne	0.3	0.07	0.04	93.74	25.81	67.53	0.04
usa	ne	0.15	0.01	0.03	25	21.52	50	0.04
usa	ne	0.82	0.7	0.03	149.69	31.23	113.58	0.06
usa	ne	0.91	0.99	0.01	93.4	9.09	186.79	0.02
usa	ne	0.38	0.06	0.1	53.14	66.24	71.45	0.1
usa	ne	0.18	0	0.06	9.09	34.63	18.18	0.12
usa	ne	0.84	0.75	0.03	159.7	36.16	97.78	0.03
usa	ne	0.16	0	0.08	0	51.5	0	0.07
usa	ne	0.22	0.02	0.07	52.37	40.77	52.38	0.1
usa	ne	0.16	0.02	0.03	43.51	12.29	40	0.04
usa	ne	0.21	0.02	0.06	46.17	42.5	39.39	0.04
usa	ne	0.28	0.03	0.04	54.07	34.08	59.22	0.03
usa	ne	0.23	0.02	0.08	37.59	49.46	27.35	0.11
usa	ne	0.13	0	0.04	0	25.1	0	0.03
usa	ne	0.18	0.01	0.06	24.74	42.97	33.33	0.06
usa	ne	0.18	0.02	0.06	43.51	40.52	40	0.06
usa	ne	0.8	0.68	0.04	172.29	54.03	75.73	0.06
usa	ne	0.65	0.46	0.08	163.11	63.62	77.32	0.12
usa	ne	0.22	0.03	0.06	46.67	31.75	93.33	0.07
usa	ne	0.43	0.03	0.04	16.67	30.62	33.33	0.04
usa	ne	0.3	0.06	0.07	52.38	54.7	104.76	0.09
usa	ne	0.27	0.03	0.05	17.24	24.74	34.48	0.04
usa	ne	0.22	0.03	0.05	46.67	28.33	93.33	0.06
usa	ne	0.21	0.04	0.08	31.03	29.53	62.07	0.13
usa	ne	0.26	0.03	0.03	52.22	32.9	52.56	0.04
usa	ne	0.25	0.02	0.05	37.27	45.88	36.11	0.08
usa	ne	0.24	0.02	0.05	42.43	40.99	39.83	0.11
usa	ne	0.3	0.07	0.06	65.94	31.83	50.79	0.08
usa	ne	0.25	0.02	0.04	28.57	26.73	57.14	0.06
usa	ne	0.34	0.03	0.08	24.14	56.66	48.28	0.13
can	ne	0.27	0.03	0.04	46.93	35	55.69	0.05
can	ne	0.23	0.02	0.03	42.75	35.89	36.12	0.04
can	ne	0.93	3.11	0.03	169.43	32.01	82.68	0.04
can	ne	0.94	2.7	0.04	190.48	51.43	80.41	0.07
can	ne	0.92	2.67	0.02	190.05	26.82	129.54	0.02
can	ne	0.21	0.02	0.04	36.85	35.98	70	0.04
can	ne	0.91	2.47	0.04	232.3	47.37	80.28	0.07
can	ne	0.31	0.04	0.06	52.54	48.38	77.18	0.11
can	ne	0.85	2.23	0.04	229.83	41.5	83.87	0.04
can	ne	0.83	2	0.07	249.52	66.42	58.25	0.06
can	ne	0.42	0.08	0.06	93.47	64.93	77.26	0.05
can	ne	0.41	0.06	0.1	53.84	65.1	92.56	0.08
can	ne	0.86	2.17	0.14	264.35	121.93	68.48	0.08
can	ne	0.26	0.03	0.05	67.06	64.31	55	0.06
can	ne	0.26	0.02	0.05	46.4	46.86	51.37	0.04
can	ne	0.92	2.59	0.03	215.79	28.91	92.99	0.03
can	ne	0.36	0.06	0.03	56.82	33.69	100.53	0.03
can	ne	0.67	0.79	0.03	307.98	37.22	49.79	0.03
can	ne	0.21	0.03	0.13	63.77	99.86	42.35	0.09
can	ne	0.37	0.09	0.12	92.14	104.73	70.17	0.1
can	ne	0.29	0.03	0.11	50.12	104.44	54.37	0.09
can	ne	0.71	1.12	0.1	352.64	109.16	36.09	0.07
can	ne	0.85	1.6	0.04	287.45	55.96	100.33	0.05
can	ne	0.36	0.03	0.04	53.72	44.51	62.3	0.04
can	ne	0.31	0.06	0.04	86.92	46.79	63.5	0.05
can	ne	0.29	0.05	0.07	62.79	61.23	43.74	0.06
can	ne	0.81	1.55	0.05	284.29	42.25	69.85	0.04
can	ne	0.24	0.03	0.08	65.07	69.29	60.19	0.08
can	ne	0.34	0.06	0.05	79.76	49.34	53.39	0.05
can	ne	0.92	2.4	0.03	229	36.92	105.1	0.05
can	ne	0.9	2.04	0.04	231.09	46.99	59.09	0.03
can	ne	0.31	0.06	0.08	74.22	63.18	61.37	0.07
can	ne	0.79	0.64	0.03	203.69	45.7	64.36	0.03
can	ne	0.42	0.06	0.05	64.81	40.59	65.67	0.03
can	ne	0.31	0.04	0.06	59.14	51.13	60.23	0.05
can	ne	0.33	0.04	0.06	56.7	45.65	54.68	0.07
can	ne	0.34	0.05	0.05	81.52	53.28	51.2	0.06
can	ne	0.22	0.02	0.07	47.05	60.46	33.87	0.06
can	ne	0.29	0.05	0.07	82.72	66.94	63.97	0.09
can	ne	0.23	0.02	0.11	52.37	103.53	33.47	0.08
can	ne	0.26	0.05	0.12	73.07	89.05	47.58	0.08
can	ne	0.28	0.04	0.1	56.62	103.15	73.28	0.1
can	ne	0.27	0.05	0.1	72.87	80.48	50.4	0.08
can	ne	0.27	0.04	0.1	83.35	100.82	47.97	0.07
can	ne	0.27	0.05	0.14	79.27	130.64	60.8	0.11
can	ne	0.24	0.03	0.16	53.48	132.8	66.65	0.11
can	ne	0.53	0.46	0.15	263.63	114.4	75.26	0.13
can	ne	0.35	0.09	0.18	85.21	131.05	94.57	0.14
can	ne	0.51	0.31	0.1	244.88	87.01	64.48	0.09
can	ne	0.33	0.03	0.12	53.26	117.19	69.39	0.08
can	ne	0.27	0.06	0.14	100.65	122.31	59	0.09
can	ne	0.22	0.03	0.14	64.75	101.5	45.36	0.12
can	ne	0.39	0.1	0.1	105.19	83.36	97.72	0.08
can	ne	0.39	0.06	0.12	69.92	125.18	57.39	0.08
can	ne	0.2	0.06	0.15	91.41	105.68	51.09	0.08
can	ne	0.23	0.04	0.11	74.64	86.88	51.08	0.1
can	ne	0.79	1.17	0.04	288	49.65	77.45	0.04
can	ne	0.27	0.03	0.14	57.21	115.82	64.58	0.12
can	ne	0.4	0.11	0.08	117.41	75.21	78.06	0.07
can	ne	0.25	0.05	0.1	73.07	84.47	82.46	0.07
can	ne	0.7	0.69	0.08	266.49	84.39	68.19	0.06
can	ne	0.37	0.02	0.08	14.89	73.67	33.33	0.05
can	ne	0.36	0.04	0.06	42.52	58.55	60.31	0.04
can	ne	0.34	0.05	0.07	56.14	67.08	99.47	0.06
can	ne	0.39	0.04	0.05	50.15	53.67	78.21	0.04
can	ne	0.35	0.04	0.06	53.27	73.9	64.55	0.06
can	ne	0.83	1.5	0.04	258.5	40.57	64.95	0.05
can	ne	0.78	1.25	0.04	270.46	42.9	67.94	0.06
can	ne	0.8	1.38	0.04	271.27	41.79	70.09	0.05
can	ne	0.75	1.12	0.04	276.6	35.66	71.16	0.04
can	ne	0.44	0.01	0.06	6.43	52.79	6.67	0.07
can	ne	0.38	0.04	0.07	41.79	63.65	48.27	0.07
can	ne	0.35	0.05	0.06	53.34	57.16	92.5	0.05
can	ne	0.36	0.06	0.06	65.77	54.72	129.74	0.05
can	ne	0.32	0.04	0.05	55.43	56.71	80.57	0.05
can	ne	0.27	0.02	0.04	49.25	30.81	52.53	0.06
can	ne	0.27	0.03	0.03	53.97	27.5	40.53	0.03
can	ne	0.3	0.04	0.05	65.96	44.99	60.38	0.04
can	ne	0.91	3.07	0.02	305.83	25.66	26.44	0.03
can	ne	0.88	2.75	0.11	303.64	93.28	38.04	0.06
can	ne	0.3	0.03	0.02	71.41	24.88	49.82	0.03
can	ne	0.27	0.03	0.08	53.77	70.24	51.69	0.05
can	ne	0.29	0.02	0.04	47.51	44.93	27.89	0.04
can	ne	0.31	0.02	0.03	46.27	42.1	26.67	0.03
can	ne	0.2	0.04	0.14	87.93	108.3	36.86	0.1
can	ne	0.24	0.03	0.08	58.64	76.69	48.48	0.08
can	ne	0.22	0.02	0.13	48.89	128.03	33.28	0.08
can	ne	0.23	0.04	0.12	72.65	95.16	48.96	0.1
can	ne	0.22	0.04	0.08	70.41	66.56	47.99	0.09
can	ne	0.23	0.02	0.12	50.13	109.15	46.64	0.08
can	ne	0.34	0.05	0.05	73.5	52.07	64.29	0.04
can	ne	0.34	0.02	0.04	37.85	51.86	51.06	0.05
can	ne	0.32	0.03	0.05	60.3	53.01	66.05	0.06
can	ne	0.37	0.04	0.05	37.2	40.17	64.35	0.05
can	ne	0.72	1.06	0.11	254.56	75.48	78.08	0.11
can	ne	0.36	0.03	0.04	54.76	50.7	71.39	0.04
can	ne	0.27	0.02	0.07	47.42	64.78	32.94	0.09
can	ne	0.31	0.04	0.06	62.37	61.12	38.09	0.08
can	ne	0.33	0.04	0.03	66.42	38.52	59.04	0.03
can	ne	0.88	1.87	0.06	229.42	58.31	80.81	0.05
can	ne	0.23	0.01	0.04	36.33	43	31.02	0.05
can	ne	0.31	0.03	0.06	55.71	60.86	51.49	0.05
can	ne	0.76	0.94	0.05	257.69	53.83	82.81	0.07
can	ne	0.38	0.05	0.04	59.01	33.11	83.33	0.05
can	ne	0.27	0.03	0.04	64.95	43.95	37.38	0.05
can	ne	0.25	0.02	0.05	57.41	48.73	37.43	0.04
can	ne	0.35	0.03	0.03	50.34	39.91	37.07	0.05
can	ne	0.27	0.02	0.06	47.85	58.82	57.69	0.04
can	ne	0.36	0.05	0.03	55.18	28.47	61.47	0.05
can	ne	0.47	0.06	0.02	65.24	22.94	127.78	0.03
can	ne	0.23	0.02	0.04	40.43	32.76	52.53	0.05
can	ne	0.34	0.06	0.03	80.81	27.92	66.67	0.06
can	ne	0.77	0.53	0.03	154.67	30	72.09	0.06
can	ne	0.33	0.04	0.04	68.72	43	71.3	0.05
can	ne	0.3	0.01	0	14.29	4.42	28.57	0
can	ne	0.36	0.06	0.08	59.33	61.6	100.77	0.09
can	ne	0.77	0.6	0.03	175.2	27.31	81.73	0.04
can	ne	0.26	0.02	0.03	31.87	27.84	73.33	0.05
can	ne	0.82	0.68	0.03	183.87	34.46	48.31	0.03
can	ne	0.35	0.03	0.06	36.92	53.59	79.2	0.07
can	ne	0.29	0.04	0.05	70.43	46.19	44.29	0.04
can	ne	0.22	0.02	0.08	43.51	54.24	40	0.17
can	ne	0.29	0.02	0.07	37.42	56.21	54.38	0.09
can	ne	0.76	0.47	0.07	176.78	66.03	102.21	0.09
can	ne	0.12	0.01	0.04	25	20.9	50	0.05
can	ne	0.23	0.03	0.03	49.07	21.6	87.18	0.04
can	ne	0.83	0.77	0.07	123.54	51.41	159.07	0.11
can	ne	0.27	0.03	0.03	46.63	23.15	48.41	0.05
can	ne	0.31	0	0.01	0	5	0	0.02
can	ne	0.38	0.05	0.03	61.46	23.12	79.61	0.02
can	ne	0.19	0.02	0.03	40	22.5	80	0.04
can	ne	0.79	0.58	0.04	146.94	41.03	133.06	0.07
can	ne	0.91	0.98	0.04	92.49	36.36	184.98	0.08
can	ne	0.33	0.02	0.06	30.62	46.31	38.87	0.05
can	ne	0.18	0.01	0.04	11.11	30.82	22.22	0.08
can	ne	0.85	0.75	0.04	162.03	44.41	64.44	0.04
can	ne	0.21	0.01	0.05	28.78	36.44	53.33	0.03
can	ne	0.29	0.03	0.04	54.5	33.97	69.23	0.09
can	ne	0.21	0.03	0.05	56.57	25.78	50	0.06
can	ne	0.24	0.03	0.03	63.64	24.07	53.85	0.03
can	ne	0.37	0.04	0.02	67.33	20.69	67.08	0.02
can	ne	0.21	0.02	0.04	43.3	28.91	26.67	0.07
can	ne	0.18	0.01	0.02	20.41	17.5	36.11	0.04
can	ne	0.21	0.02	0.05	36.85	39.34	60	0.05
can	ne	0.21	0.01	0.05	26.73	35.72	34.09	0.05
can	ne	0.78	0.53	0.05	164.32	63.36	73.94	0.04
can	ne	0.84	0.84	0.04	177.84	54.65	74.72	0.04
can	ne	0.08	0.04	0.9	40	114.5	80	0.97
can	ne	0.39	0.04	0.01	25.93	4.76	51.85	0
can	ne	0.35	0.01	0.06	13.04	57.34	26.09	0.08
can	ne	0.32	0.03	0.05	20	31.19	40	0.09
can	ne	0.26	0.05	0.03	55.56	15.14	111.11	0.03
can	ne	0.26	0.04	0.04	36.36	23.92	72.73	0.06
can	ne	0.26	0.02	0.04	41.66	43.52	61.2	0.05
can	ne	0.26	0.03	0.05	52.22	51.21	80.34	0.07
can	ne	0.31	0.05	0.06	64.68	51.09	61.32	0.12
can	ne	0.28	0.03	0.06	55.28	49.29	52.91	0.12
can	ne	0.3	0.03	0.03	33.33	21.57	66.67	0.04
can	ne	0.36	0.04	0.03	28.57	23.66	57.14	0.03
usa	ne	0.3	0.03	0.06	58.16	62.16	55.48	0.04
usa	ne	0.21	0.02	0.07	41.57	65.53	43.03	0.06
usa	ne	0.87	3.29	0.2	169.34	108.05	92.81	0.17
usa	ne	0.94	2.99	0.03	190.47	37.02	88.9	0.06
usa	ne	0.92	2.98	0.04	191.03	40.73	87.76	0.05
usa	ne	0.3	0.02	0.02	35.25	23.8	56.45	0.03
usa	ne	0.87	2.64	0.16	234.46	112.87	68.96	0.12
usa	ne	0.28	0.09	0.19	72.67	78.17	79.04	0.21
usa	ne	0.81	1.68	0.05	221.31	43.86	87.88	0.08
usa	ne	0.85	1.79	0.03	242.57	32.63	87.24	0.04
usa	ne	0.42	0.09	0.06	82.62	55.63	45.4	0.05
usa	ne	0.35	0.04	0.12	40.72	66.46	82.69	0.1
usa	ne	0.89	1.93	0.04	264.49	48.11	48.57	0.03
usa	ne	0.3	0.08	0.06	112.28	60.54	53.17	0.06
usa	ne	0.22	0.02	0.08	33.33	55.59	54.17	0.08
usa	ne	0.91	2.41	0.04	212.19	32.35	97.72	0.03
usa	ne	0.36	0.07	0.05	69.73	58.41	98.94	0.04
usa	ne	0.69	0.84	0.04	301.44	45.15	42.82	0.04
usa	ne	0.26	0.05	0.25	73.5	182.02	52.57	0.13
usa	ne	0.28	0.08	0.15	104.41	111.17	70.71	0.11
usa	ne	0.27	0.04	0.19	55.8	140.27	63.03	0.13
usa	ne	0.69	0.71	0.04	309.95	47.15	64.37	0.05
usa	ne	0.84	1.52	0.03	286.75	39.98	86.97	0.04
usa	ne	0.33	0.06	0.07	81.84	53.01	68.77	0.06
usa	ne	0.29	0.08	0.14	96.33	109.62	71.8	0.1
usa	ne	0.31	0.06	0.06	78.99	52.89	68.11	0.06
usa	ne	0.81	1.38	0.05	278.42	51.12	65.51	0.04
usa	ne	0.1	0.05	1.05	66.43	261.49	56.87	0.38
usa	ne	0.28	0.04	0.09	71.69	80.57	37.9	0.05
usa	ne	0.91	2.43	0.05	228.8	42.36	93.46	0.06
usa	ne	0.9	2.44	0.04	231.42	43.17	61.38	0.03
usa	ne	0.35	0.11	0.09	110.96	64.18	83.23	0.06
usa	ne	0.83	1.16	0.05	217.35	52.1	73.44	0.03
usa	ne	0.39	0.05	0.04	52.68	29.13	50.04	0.04
usa	ne	0.37	0.06	0.06	76.76	58.63	53.45	0.04
usa	ne	0.43	0.07	0.08	71.3	56.78	65.17	0.09
usa	ne	0.23	0.04	0.33	59.3	204.48	66.81	0.13
usa	ne	0.23	0.03	0.06	55.68	49.85	64.75	0.06
usa	ne	0.27	0.04	0.08	64.64	66.11	68.11	0.11
usa	ne	0.23	0.03	0.15	59.67	120.9	40.48	0.1
usa	ne	0.31	0.08	0.09	96.36	70.47	81.91	0.11
usa	ne	0.3	0.05	0.11	72.69	109.95	78.61	0.1
usa	ne	0.31	0.07	0.15	85.07	116.77	58.39	0.12
usa	ne	0.3	0.07	0.14	113.83	123.38	63.48	0.08
usa	ne	0.28	0.09	0.2	100.9	146.32	77.6	0.12
usa	ne	0.26	0.04	0.16	72.43	136.95	49.95	0.1
usa	ne	0.54	0.27	0.05	204.88	51.96	70.2	0.06
usa	ne	0.34	0.1	0.23	88.61	146.35	98.4	0.17
usa	ne	0.43	0.07	0.05	82.99	49.66	54.15	0.06
usa	ne	0.33	0.05	0.12	64.33	95.71	81.55	0.08
usa	ne	0.3	0.08	0.13	98.72	106.9	73.04	0.13
usa	ne	0.35	0.08	0.12	119.51	107.38	64.6	0.08
usa	ne	0.4	0.1	0.12	98.56	103.3	101.52	0.1
usa	ne	0.41	0.08	0.13	84.52	118.88	65.88	0.09
usa	ne	0.29	0.08	0.13	95.64	104.49	78.63	0.09
usa	ne	0.26	0.05	0.09	78.73	78.3	46.39	0.09
usa	ne	0.67	1.16	0.18	281.08	125.91	78.1	0.09
usa	ne	0.27	0.05	0.14	82.13	116.32	59.04	0.12
usa	ne	0.52	0.08	0.04	91	66.02	78.85	0.04
usa	ne	0.19	0.04	0.2	63.41	117.24	70.27	0.15
usa	ne	0.72	0.74	0.05	262.99	54.21	86.71	0.04
usa	ne	0.33	0.03	0.09	27.22	75.14	53.33	0.05
usa	ne	0.36	0.06	0.09	47.91	74.8	73.97	0.05
usa	ne	0.35	0.06	0.09	63.33	81.27	109.73	0.05
usa	ne	0.35	0.05	0.08	57.56	75.29	97.26	0.07
usa	ne	0.36	0.05	0.08	61.77	81.5	90.91	0.06
usa	ne	0.79	1.28	0.05	254.17	45.56	67.2	0.06
usa	ne	0.79	1.27	0.04	268.26	44.33	73.7	0.06
usa	ne	0.79	1.35	0.05	265.95	53.83	87.18	0.06
usa	ne	0.77	1.18	0.05	273.95	51.36	62.57	0.06
usa	ne	0.39	0.05	0.1	37.06	70.47	72.1	0.11
usa	ne	0.37	0.06	0.08	53.4	66.31	93.55	0.09
usa	ne	0.38	0.08	0.07	74.25	70.26	114.28	0.07
usa	ne	0.37	0.07	0.09	78.82	89.62	108.99	0.07
usa	ne	0.35	0.05	0.07	77.01	84.96	85.31	0.05
usa	ne	0.23	0.02	0.06	49.25	41.08	46.81	0.08
usa	ne	0.27	0.02	0.05	47.61	39.16	59.32	0.03
usa	ne	0.29	0.04	0.05	63.7	39.97	78.51	0.04
usa	ne	0.89	2.73	0.03	293.85	27.15	73.48	0.03
usa	ne	0.91	3.16	0.03	302.05	28.71	57.82	0.03
usa	ne	0.31	0.04	0.03	69.86	31.5	61.62	0.03
usa	ne	0.33	0.05	0.04	89.47	36.73	48.32	0.03
usa	ne	0.3	0.03	0.09	55.68	79.75	36.16	0.08
usa	ne	0.32	0.03	0.04	47.21	47.82	32	0.04
usa	ne	0.27	0.08	0.16	95.95	110.64	58.7	0.12
usa	ne	0.28	0.08	0.16	95.95	117.95	67.8	0.12
usa	ne	0.31	0.11	0.12	148.93	105.37	74.98	0.08
usa	ne	0.25	0.12	0.3	129.21	157.7	65.06	0.17
usa	ne	0.26	0.1	0.21	118.54	127.32	66.42	0.16
usa	ne	0.32	0.11	0.13	127.64	110.13	75.52	0.09
usa	ne	0.43	0.04	0.05	48.98	53.93	74.28	0.04
usa	ne	0.32	0.03	0.05	49.63	52.62	53.82	0.07
usa	ne	0.32	0.06	0.07	72.71	56.1	75.03	0.08
usa	ne	0.39	0.05	0.1	46.36	79.51	75.73	0.07
usa	ne	0.77	1.13	0.06	244.06	49.05	100.57	0.08
usa	ne	0.35	0.05	0.07	63.65	57.94	79.9	0.08
usa	ne	0.3	0.04	0.06	58.18	43.57	57.44	0.08
usa	ne	0.38	0.04	0.06	41.03	56	42.48	0.08
usa	ne	0.33	0.05	0.09	68.49	77.09	65.83	0.06
usa	ne	0.85	1.52	0.05	227.29	46.21	59.85	0.07
usa	ne	0.31	0.05	0.04	81.65	38.58	51.62	0.05
usa	ne	0.37	0.04	0.08	55.61	80.54	70.34	0.06
usa	ne	0.73	0.79	0.05	227.1	44.77	62.28	0.07
usa	ne	0.38	0.05	0.05	60.28	38.73	60.67	0.08
usa	ne	0.25	0.04	0.07	69.31	63.52	39.94	0.08
usa	ne	0.26	0.03	0.06	54.9	59.53	69.33	0.06
usa	ne	0.39	0.03	0.02	47.14	28.75	36.57	0.03
usa	ne	0.31	0.04	0.07	60.14	71.05	73.33	0.07
usa	ne	0.24	0.03	0.06	49.5	39.24	90.48	0.08
usa	ne	0.81	0.55	0.01	141.35	15.99	146.81	0.01
usa	ne	0.14	0	0.08	13.32	49.04	19.05	0.12
usa	ne	0.28	0.05	0.05	74.43	38.64	62.5	0.09
usa	ne	0.75	0.57	0.05	152.98	39.31	117.1	0.1
usa	ne	0.26	0.04	0.09	68.63	71.8	73.33	0.09
usa	ne	0.22	0.04	0.11	52.94	53.47	105.88	0.13
usa	ne	0.3	0.06	0.13	70.86	80.16	120.16	0.13
usa	ne	0.73	0.44	0.03	169.28	26.92	81.25	0.04
usa	ne	0.22	0.02	0.1	36	62.97	49.57	0.09
usa	ne	0.8	0.62	0.03	182.35	33.38	48.14	0.05
usa	ne	0.37	0.05	0.1	62.27	86.12	118.95	0.1
usa	ne	0.29	0.03	0.03	54.87	31.2	70.48	0.02
usa	ne	0.18	0.03	0.12	56.57	52.12	50	0.25
usa	ne	0.29	0.03	0.07	47.16	48.71	66.38	0.1
usa	ne	0.58	0.25	0.07	149.14	45.94	85.01	0.09
usa	ne	0.1	0.01	0.09	33.33	32.45	66.67	0.1
usa	ne	0.17	0.04	0.04	59.32	19.79	103.81	0.06
usa	ne	0.76	0.52	0.06	105.21	37.78	162.88	0.1
usa	ne	0.32	0.03	0.04	44.72	32.17	65.08	0.08
usa	ne	0.24	0	0.07	4.76	19.4	9.52	0.13
usa	ne	0.35	0.09	0.05	83.75	23.83	89.95	0.07
usa	ne	0.21	0.03	0.03	50	19.55	100	0.03
usa	ne	0.78	0.58	0.04	143.16	37.38	100.96	0.07
usa	ne	0.91	0.77	0.01	84.62	5.26	169.23	0.01
usa	ne	0.32	0.07	0.1	63.87	61.28	108.44	0.08
usa	ne	0.24	0.02	0.06	25	34.41	50	0.1
usa	ne	0.8	0.66	0.02	156.83	22.22	108.61	0.02
usa	ne	0.17	0.02	0.05	43.51	32.67	80	0.05
usa	ne	0.25	0.03	0.06	55.28	35.49	91.43	0.1
usa	ne	0.19	0.03	0.06	54.55	23.25	68.13	0.07
usa	ne	0.22	0.02	0.02	53.01	18.61	64.29	0.02
usa	ne	0.34	0.04	0.03	60.09	26.01	70.71	0.03
usa	ne	0.22	0.02	0.07	43.38	37.64	45.24	0.11
usa	ne	0.15	0.02	0.07	43.51	39.26	80	0.07
usa	ne	0.21	0.01	0.04	19.51	33.66	24.07	0.05
usa	ne	0.21	0.02	0.05	38.53	34.81	68.53	0.06
usa	ne	0.75	0.5	0.04	163.01	41.73	72.63	0.04
usa	ne	0.55	0.12	0.04	97.61	49.32	57.5	0.05
usa	ne	0.34	0.07	0.04	53.85	24.01	107.69	0.08
usa	ne	0.36	0.08	0.02	53.33	16.34	106.67	0.03
usa	ne	0.28	0.06	0.12	52.38	86.11	104.76	0.11
usa	ne	0.31	0.04	0.09	33.33	65.22	66.67	0.09
usa	ne	0.24	0.07	0.08	61.9	37.11	123.81	0.1
usa	ne	0.22	0.06	0.06	60	34.36	120	0.08
usa	ne	0.25	0.02	0.06	33.4	54.07	32.22	0.09
usa	ne	0.25	0.02	0.05	33.4	43.98	32.22	0.06
usa	ne	0.23	0.04	0.13	58.08	76.28	53.33	0.18
usa	ne	0.28	0.05	0.08	65.4	51.38	57.78	0.13
usa	ne	0.36	0.04	0.05	42.86	44.08	85.71	0.12
usa	ne	0.34	0.05	0.02	45.45	20.76	90.91	0.03
can	ne	0.3	0.03	0.05	49.56	40.29	63.59	0.04
can	ne	0.25	0.03	0.05	54.11	40.68	28.48	0.06
can	ne	0.92	3.26	0.04	166.44	38.58	136.54	0.07
can	ne	0.94	3.1	0.03	189.92	40.2	91.83	0.06
can	ne	0.92	2.99	0.04	189.55	40.31	102.54	0.04
can	ne	0.19	0.01	0.04	15.79	27.22	32.73	0.02
can	ne	0.9	2.58	0.05	229.37	47.33	79.35	0.09
can	ne	0.37	0.05	0.08	40.03	52.81	77.3	0.14
can	ne	0.83	2.08	0.05	225.09	44.06	86.09	0.06
can	ne	0.82	1.92	0.07	241.72	55.83	89.9	0.07
can	ne	0.43	0.07	0.07	64.21	68.8	63.43	0.07
can	ne	0.43	0.07	0.13	52.77	69.5	87.91	0.09
can	ne	0.9	2.24	0.04	261.01	46.08	66.3	0.04
can	ne	0.28	0.08	0.08	94.87	65.54	72.17	0.07
can	ne	0.21	0.02	0.08	41.95	48.39	43.81	0.06
can	ne	0.9	2.77	0.05	210.04	36.62	103.77	0.07
can	ne	0.36	0.08	0.08	59.04	65.61	95.05	0.05
can	ne	0.54	0.71	0.2	283.64	127.52	71.78	0.14
can	ne	0.27	0.03	0.2	44.6	131.16	56.3	0.13
can	ne	0.31	0.09	0.16	86.3	106.49	72.64	0.12
can	ne	0.33	0.06	0.2	58.95	140.33	67.77	0.14
can	ne	0.66	0.96	0.1	324.09	85.38	63.27	0.08
can	ne	0.78	1.2	0.04	266.94	41.22	96.71	0.04
can	ne	0.38	0.07	0.06	72.16	47.69	58.74	0.06
can	ne	0.28	0.06	0.08	67.13	58.97	54.18	0.08
can	ne	0.33	0.06	0.08	62.21	61.93	51.91	0.08
can	ne	0.78	1.38	0.05	254.07	39.26	72.65	0.05
can	ne	0.25	0.03	0.12	42.26	87.11	27.86	0.11
can	ne	0.34	0.07	0.07	65.58	50.57	74.22	0.05
can	ne	0.9	2.35	0.04	216.12	36.62	86.76	0.05
can	ne	0.89	2.19	0.05	225.6	43.38	71.85	0.04
can	ne	0.25	0.05	0.12	67.13	71.35	76.55	0.09
can	ne	0.89	2.07	0.04	226.23	38.68	74.37	0.03
can	ne	0.38	0.04	0.04	38.5	26.4	46.94	0.03
can	ne	0.38	0.07	0.1	75.12	84.7	79.15	0.08
can	ne	0.34	0.05	0.1	59.47	55.94	63.73	0.1
