nat	lev	percV	sd_V	sd_C	VarcoV	VarcoC	nPVI-V	rPVI-C
usa	ne	0.4	0.05	0.09	33.16	56.7	61.44	0.09
usa	ne	0.54	0.2	0.04	129.75	34.05	61.23	0.05
usa	ne	0.29	0.03	0.07	53.18	63.5	52.56	0.07
usa	ne	0.27	0.04	0.07	73.81	55.14	52.99	0.1
usa	ne	0.36	0.04	0.07	46.65	63.21	50.9	0.09
usa	ne	0.27	0.03	0.06	53.31	54.91	65.18	0.06
usa	ne	0.6	0.34	0.05	184.82	43.32	64.65	0.06
usa	ne	0.35	0.05	0.03	83	31.62	45.52	0.05
usa	ne	0.36	0.02	0.07	34.52	69.62	44.49	0.06
usa	ne	0.51	0.3	0.04	191.08	34.09	66.31	0.06
usa	ne	0.38	0.07	0.06	68.6	38.57	90.37	0.09
usa	ne	0.26	0.03	0.05	56.19	54.95	35.11	0.06
usa	ne	0.25	0.03	0.05	62.55	48.45	60.4	0.05
usa	ne	0.37	0.03	0.04	48	53.41	57.37	0.06
usa	ne	0.26	0.03	0.06	54.47	60.23	69.18	0.06
usa	ne	0.23	0.04	0.05	59.32	34.96	71.43	0.08
usa	ne	0.71	0.37	0.01	138.77	13.76	134.16	0.02
usa	ne	0.18	0.01	0.05	25	37.42	16.67	0.11
usa	ne	0.29	0.05	0.06	77.78	46.02	64.71	0.07
usa	ne	0.66	0.3	0.02	132.53	20.3	118.8	0.04
usa	ne	0.24	0.03	0.07	63.81	60.02	71.79	0.1
usa	ne	0.23	0.04	0.02	53.85	12.86	107.69	0.04
usa	ne	0.27	0.06	0.08	80.81	54.67	133.33	0.09
usa	ne	0.58	0.19	0.04	126.78	41.51	106.59	0.07
usa	ne	0.36	0.08	0.06	58.2	33.93	98.15	0.1
usa	ne	0.76	0.49	0.04	178.26	40.27	47.67	0.05
usa	ne	0.3	0.02	0.07	37.48	65.67	70.71	0.05
usa	ne	0.25	0.02	0.06	35.32	53.07	37.14	0.04
usa	ne	0.27	0	0.09	6.43	47.08	6.67	0.18
usa	ne	0.23	0.01	0.1	24.49	60.07	50.51	0.14
usa	ne	0.56	0.15	0.06	117.53	50.84	100.63	0.09
usa	ne	0.11	0	0.09	0	39.09	0	0.1
usa	ne	0.18	0.02	0.05	32.44	22.95	58.46	0.05
usa	ne	0.55	0.19	0.08	92.74	50.32	126.86	0.14
usa	ne	0.17	0.01	0.09	30.62	54.91	22.86	0.13
usa	ne	0.24	0.01	0.06	12.5	24	25	0.12
usa	ne	0.3	0.07	0.04	87.95	21.79	71.5	0.06
usa	ne	0.17	0.01	0.05	20	33.46	40	0.07
usa	ne	0.62	0.21	0.04	124.54	41.03	101.99	0.08
usa	ne	0.8	0.3	0.02	77.22	20	154.43	0.04
usa	ne	0.41	0.05	0.09	41.33	78.78	73.75	0.11
usa	ne	0.16	0.01	0.07	11.11	40.82	22.22	0.12
usa	ne	0.62	0.19	0.03	121.17	30.23	65.19	0.02
usa	ne	0.18	0.01	0.05	26.73	31.56	34.09	0.04
usa	ne	0.24	0.02	0.07	36.58	42.21	65.86	0.09
usa	ne	0.19	0.04	0.05	67.45	17.5	67.23	0.09
usa	ne	0.21	0.02	0.04	50.7	27.66	39.29	0.04
usa	ne	0.3	0.03	0.06	55.49	40.96	47.29	0.05
usa	ne	0.29	0.02	0.06	45.81	50.04	39.83	0.09
usa	ne	0.17	0.01	0.04	28.78	23.39	34.29	0.04
usa	ne	0.2	0	0.03	13.32	30.16	9.52	0.05
usa	ne	0.18	0.02	0.05	36.42	32.78	41.56	0.08
usa	ne	0.75	0.4	0.06	154.88	81.53	70.94	0.07
usa	ne	0.46	0.09	0.1	84.31	98.13	52.92	0.1
usa	ne	0.27	0.05	0.02	47.37	11.85	94.74	0.04
usa	ne	0.3	0.05	0.06	41.67	39.45	83.33	0.06
usa	ne	0.29	0.08	0.1	65.22	70.42	130.43	0.14
usa	ne	0.35	0.07	0.07	63.64	66.66	127.27	0.09
usa	ne	0.2	0.04	0.07	60	34.15	120	0.08
usa	ne	0.22	0.05	0.07	55.56	44.88	111.11	0.09
usa	ne	0.22	0.01	0.04	24.85	39.94	22.99	0.05
usa	ne	0.27	0.01	0.06	17.44	50.34	21.65	0.07
usa	ne	0.18	0.02	0.12	46.9	63.99	68.5	0.18
usa	ne	0.31	0.04	0.07	40	42	55.56	0.1
usa	ne	0.23	0.03	0.06	46.67	36.77	93.33	0.07
usa	ne	0.16	0.04	0.09	57.14	49.22	114.29	0.12
can	ne	0.34	0.04	0.08	44.8	54.32	57.65	0.1
can	ne	0.26	0.03	0.04	51.91	33.44	46.09	0.04
can	ne	0.91	3.24	0.05	169	42.76	94.42	0.09
can	ne	0.93	2.9	0.04	188.32	43.03	93.13	0.07
can	ne	0.93	2.86	0.03	184.22	36.9	69.5	0.02
can	ne	0.12	0.01	0.23	17.68	114.67	16.93	0.14
can	ne	0.88	2.41	0.08	231.66	70.38	64.16	0.1
can	ne	0.34	0.05	0.07	41.06	47.27	77.3	0.11
can	ne	0.85	2.31	0.06	229.9	59.47	72.12	0.07
can	ne	0.81	2.06	0.06	245.23	46.84	90.67	0.06
can	ne	0.45	0.09	0.06	79.79	56.02	65.22	0.06
can	ne	0.49	0.14	0.1	79.91	56.33	123.35	0.08
can	ne	0.89	2.13	0.05	258.05	50.84	67.32	0.07
can	ne	0.38	0.08	0.05	82.12	51.06	104.97	0.03
can	ne	0.23	0.02	0.09	43.15	59.27	68.33	0.08
can	ne	0.87	2.48	0.07	207.18	41.44	93.97	0.04
can	ne	0.26	0.07	0.06	66.15	40.39	86.42	0.07
can	ne	0.35	0.06	0.06	75.99	59.08	65.11	0.08
can	ne	0.22	0.03	0.2	56.93	132.8	58.4	0.13
can	ne	0.31	0.07	0.07	73.6	51.73	76.83	0.08
can	ne	0.36	0.07	0.15	67.1	111.5	70.75	0.12
