Spk	Consonant	f2	f3
S6	retroflex	1178.470839	1818.933078
S6	retroflex	1302.410417	2221.402904
S6	retroflex	1172.056784	1884.696688
S6	retroflex	1236.785611	1643.25045
S6	retroflex	1018.108621	1681.602485
S6	retroflex	1301.918297	1828.825474
S6	retroflex	1165.775349	1824.240536
S6	retroflex	1094.440653	1625.653259
S6	retroflex	1280.176799	1867.12914
S6	retroflex	919.8429341	1696.42105
S6	retroflex	1317.57221	1887.814488
S6	retroflex	869.062981	1656.322078
S6	retroflex	1207.654668	1766.760715
S6	retroflex	1376.039145	1715.078663
S6	retroflex	1075.492748	2118.266935
S6	retroflex	859.8840934	1396.976593
S6	retroflex	1157.898583	2508.938884
S6	retroflex	1143.22509	1645.40418
S6	retroflex	1294.735819	1698.470845
S6	retroflex	1023.662937	1524.557046
S6	retroflex	1535.416595	2813.292828
S6	retroflex	1091.467382	2166.142158
S6	retroflex	1244.663238	1707.89353
S6	retroflex	1530.125598	2108.691013
S6	retroflex	1058.282954	1748.198914
S6	retroflex	2300.434396	3470.162151
S6	retroflex	1584.61281	3337.238522
S6	retroflex	1296.604478	1730.181155
S6	retroflex	1378.674952	2292.99265
S6	retroflex	1299.979199	1622.634089
S6	retroflex	1444.889421	2870.670649
S6	retroflex	1112.459142	1725.869799
S6	retroflex	1536.677907	2332.634996
S6	retroflex	1553.952652	2965.759154
S6	retroflex	1395.307558	1707.829441
S6	retroflex	1390.140548	2787.011392
S6	retroflex	1345.301899	2329.857775
S6	retroflex	1723.23105	1758.228226
S6	retroflex	1310.878795	1598.519063
S6	retroflex	1288.588591	1777.925704
S6	retroflex	1554.529314	4120.555291
S1	lateral	1032.724342	2639.30891
S1	lateral	713.9268354	2739.522408
S1	lateral	747.6899461	2489.599591
S1	lateral	905.1323093	2143.067211
S1	lateral	835.8961399	2336.359026
S1	lateral	833.7261192	2435.079169
S1	lateral	998.0987666	2507.581759
S1	lateral	794.0749209	2420.744815
S1	lateral	987.0444155	2673.069437
S1	lateral	948.6256124	2717.503008
S1	lateral	1013.319105	2701.086997
S1	lateral	954.3668172	2986.579089
S1	lateral	899.3582821	3022.889159
S1	lateral	957.2860002	3094.821096
S1	lateral	1544.128029	3209.349498
S1	lateral	1041.8929	2555.017827
S1	lateral	853.7203963	2685.492749
S1	lateral	986.8803614	2629.562424
S1	lateral	1067.894795	2526.293193
S1	lateral	949.0845874	2073.792414
S1	lateral	1075.505452	2766.18991
S1	lateral	897.8278615	2719.992768
S1	lateral	1162.173047	2579.400457
S1	lateral	1095.29988	2573.711217
S1	lateral	995.2223295	2349.404258
S1	lateral	981.938955	2609.582826
S1	lateral	1784.133972	3367.331706
S1	lateral	1040.480482	2575.310949
S1	lateral	1012.454776	2457.866276
S1	lateral	984.6819712	2357.707344
S1	lateral	956.4311374	2285.282542
S1	lateral	1267.888207	3156.147915
S1	lateral	1071.471471	2436.289167
S1	lateral	1011.986252	2549.490988
S1	lateral	934.3840886	2832.365643
S1	lateral	1182.4881	2684.126403
S1	lateral	1152.57212	2266.902369
S1	lateral	980.196839	2559.963707
S1	lateral	889.0606597	2629.168568
S1	lateral	1239.275738	2381.941713
S1	lateral	841.0165794	2491.838225
S1	lateral	1217.641532	2488.241634
S1	lateral	1137.247179	2476.587491
S1	lateral	900.3303929	2635.421842
S1	lateral	925.5451301	2677.419191
S1	lateral	1473.680547	2822.428235
S1	lateral	935.4318445	2614.094346
S1	lateral	962.3725165	3360.034268
S1	lateral	1912.041199	3254.198195
S1	lateral	823.667103	2738.714912
S1	lateral	811.1585318	2695.489535
S1	lateral	916.4898706	2584.992342
S1	lateral	2935.08895	3785.236027
S1	lateral	828.1605687	2575.024214
S1	lateral	755.8309011	2669.579139
S1	lateral	1003.842242	2572.854132
S1	lateral	855.867273	2706.897661
S1	lateral	1536.168837	3274.07629
S1	lateral	1209.976282	2722.064181
S1	lateral	790.3432219	2730.728524
S2	lateral	829.5601497	2863.550953
S2	lateral	1130.996602	2837.097226
S2	lateral	834.0655923	2627.966562
S2	lateral	973.2597457	3057.575103
S2	lateral	1074.326888	3081.15699
S2	lateral	859.0194865	2800.527844
S2	lateral	1238.362623	3039.805772
S2	lateral	904.9443525	3087.289023
S2	lateral	959.8676783	3284.819402
S2	lateral	1009.197385	3043.404401
S2	lateral	973.2597457	3057.575103
S2	lateral	1074.326888	3081.15699
S2	lateral	1029.383651	2937.45468
S2	lateral	606.5830074	2960.821526
S2	lateral	904.9996764	2835.930998
S2	lateral	1066.13847	2945.452315
S2	lateral	946.5160445	3180.999745
S2	lateral	1455.62835	2952.572596
